VCL_PROG_MIN,STR_PROG_MIN,VCL_IMM_MAX,avg_total_mae
40,0.45,12,39.92
20,0.65,9,39.92
15,0.7,4,39.94
15,0.65,8,39.96
10,0.65,7,39.97
15,0.5,9,39.97
30,0.55,14,39.97
30,0.45,14,39.97
15,0.7,5,39.98
40,0.45,14,39.98
40,0.5,12,39.99
30,0.65,3,40.02
40,0.5,14,40.05
40,0.55,10,40.06
25,0.65,2,40.06
10,0.45,3,40.09
10,0.4,2,40.09
15,0.65,2,40.09
45,0.45,10,40.09
20,0.7,6,40.1
40,0.4,14,40.13
45,0.55,5,40.15
25,0.6,11,40.16
35,0.6,10,40.17
45,0.4,13,40.18
45,0.55,7,40.19
45,0.55,6,40.22
35,0.65,5,40.24
50,0.4,5,40.25
45,0.55,9,40.26
45,0.55,8,40.27
35,0.65,7,40.28
45,0.5,10,40.28
30,0.6,11,40.3
25,0.55,14,40.3
35,0.65,6,40.31
25,0.5,14,40.32
40,0.55,13,40.33
20,0.4,9,40.34
35,0.55,12,40.36
25,0.65,10,40.36
45,0.4,11,40.36
30,0.7,5,40.36
10,0.6,9,40.39
50,0.4,7,40.39
20,0.7,7,40.39
30,0.7,7,40.4
50,0.4,6,40.42
30,0.4,14,40.42
45,0.45,13,40.43
45,0.4,3,40.43
35,0.55,14,40.43
30,0.7,6,40.43
45,0.55,4,40.44
50,0.4,9,40.46
50,0.4,8,40.47
40,0.5,2,40.47
20,0.55,11,40.47
25,0.4,11,40.48
25,0.6,13,40.49
35,0.6,3,40.5
25,0.7,8,40.52
35,0.65,4,40.53
30,0.65,10,40.53
45,0.5,13,40.53
50,0.4,4,40.54
15,0.55,10,40.56
15,0.4,6,40.58
10,0.5,8,40.59
40,0.55,11,40.59
10,0.55,9,40.6
10,0.7,4,40.62
15,0.6,10,40.62
45,0.45,11,40.62
30,0.6,13,40.63
40,0.6,5,40.63
30,0.7,4,40.64
10,0.7,5,40.65
15,0.65,9,40.65
25,0.45,13,40.66
40,0.6,7,40.67
40,0.6,6,40.7
35,0.65,9,40.71
45,0.45,3,40.71
35,0.65,8,40.72
20,0.5,11,40.72
40,0.6,9,40.74
40,0.6,8,40.75
15,0.7,6,40.75
10,0.65,8,40.76
40,0.55,3,40.76
45,0.4,12,40.77
45,0.5,11,40.81
20,0.6,11,40.81
15,0.45,8,40.81
25,0.45,12,40.85
15,0.4,7,40.87
20,0.7,3,40.9
40,0.55,12,40.92
40,0.6,4,40.92
20,0.45,10,40.95
45,0.4,14,40.97
40,0.55,14,40.98
45,0.5,3,40.98
10,0.45,6,40.98
20,0.65,10,41.01
45,0.45,12,41.03
30,0.7,8,41.03
15,0.7,3,41.04
15,0.7,7,41.05
15,0.5,10,41.06
10,0.7,3,41.06
20,0.75,5,41.06
35,0.6,11,41.07
30,0.65,2,41.07
25,0.6,12,41.08
25,0.7,3,41.09
45,0.45,14,41.09
10,0.4,3,41.1
45,0.5,12,41.13
50,0.45,5,41.14
20,0.6,13,41.14
25,0.6,14,41.15
20,0.7,8,41.17
10,0.4,4,41.17
20,0.75,4,41.18
50,0.45,7,41.18
45,0.5,14,41.19
20,0.55,13,41.21
25,0.7,9,41.21
50,0.45,6,41.21
45,0.55,10,41.22
30,0.6,12,41.22
50,0.45,9,41.25
50,0.45,8,41.26
10,0.45,7,41.27
35,0.6,13,41.28
10,0.5,9,41.28
30,0.6,14,41.29
10,0.75,4,41.3
25,0.4,13,41.31
25,0.65,11,41.32
10,0.75,5,41.34
35,0.6,2,41.38
20,0.55,12,41.39
15,0.75,5,41.4
10,0.4,5,41.41
50,0.4,10,41.42
20,0.4,10,41.42
50,0.45,4,41.43
10,0.7,6,41.43
25,0.75,5,41.44
50,0.5,5,41.45
10,0.65,9,41.45
25,0.45,14,41.45
45,0.55,13,41.47
10,0.6,10,41.48
50,0.5,7,41.49
30,0.65,11,41.49
15,0.75,4,41.49
15,0.45,9,41.5
25,0.4,12,41.5
15,0.55,11,41.52
50,0.5,6,41.52
30,0.7,9,41.54
20,0.5,13,41.55
50,0.5,9,41.56
50,0.4,13,41.57
50,0.5,8,41.57
15,0.6,11,41.58
45,0.4,2,41.59
55,0.4,5,41.64
25,0.65,13,41.65
35,0.65,10,41.67
25,0.75,6,41.68
10,0.55,10,41.68
40,0.6,10,41.7
20,0.75,6,41.71
25,0.75,4,41.72
10,0.7,7,41.72
20,0.6,12,41.73
20,0.5,12,41.74
50,0.5,4,41.74
15,0.65,10,41.74
45,0.55,11,41.75
55,0.4,7,41.75
50,0.4,11,41.76
10,0.7,2,41.76
55,0.4,6,41.78
20,0.6,14,41.8
15,0.4,8,41.81
30,0.65,13,41.82
55,0.4,8,41.82
55,0.4,9,41.82
15,0.7,8,41.83
25,0.75,7,41.84
45,0.6,5,41.84
20,0.7,9,41.86
40,0.55,2,41.86
35,0.6,12,41.87
45,0.45,2,41.88
45,0.6,7,41.88
20,0.75,7,41.89
15,0.6,13,41.9
45,0.6,6,41.91
45,0.55,3,41.91
20,0.45,11,41.94
35,0.6,14,41.94
40,0.6,13,41.95
45,0.6,9,41.95
20,0.7,2,41.95
45,0.6,8,41.96
20,0.65,11,41.97
55,0.4,4,41.99
20,0.55,14,42.0
35,0.65,3,42.0
15,0.5,11,42.02
50,0.4,3,42.02
10,0.6,11,42.04
45,0.55,12,42.06
15,0.75,6,42.06
15,0.7,2,42.09
10,0.75,6,42.11
30,0.7,3,42.12
25,0.4,14,42.13
45,0.55,14,42.13
45,0.6,4,42.13
25,0.7,2,42.14
50,0.4,12,42.16
10,0.45,8,42.19
10,0.75,3,42.21
50,0.45,10,42.21
40,0.65,5,42.23
40,0.6,11,42.23
25,0.65,12,42.24
10,0.55,11,42.25
40,0.65,9,42.25
15,0.55,13,42.26
40,0.65,7,42.27
25,0.7,10,42.3
20,0.65,13,42.3
25,0.65,14,42.3
40,0.65,6,42.3
50,0.45,13,42.33
40,0.65,8,42.34
20,0.5,14,42.34
15,0.75,7,42.35
50,0.4,14,42.36
10,0.5,10,42.37
40,0.6,3,42.39
30,0.75,5,42.39
30,0.65,12,42.41
10,0.75,7,42.41
30,0.75,7,42.43
45,0.5,2,42.43
15,0.55,12,42.45
30,0.75,6,42.46
50,0.55,5,42.47
30,0.65,14,42.48
25,0.75,8,42.49
10,0.7,8,42.5
15,0.6,12,42.5
15,0.4,9,42.5
50,0.55,7,42.51
40,0.65,4,42.51
50,0.5,10,42.52
15,0.7,9,42.52
10,0.65,10,42.53
10,0.6,13,42.53
40,0.6,12,42.54
50,0.55,6,42.54
50,0.45,11,42.55
15,0.6,14,42.56
35,0.65,11,42.57
50,0.55,9,42.58
50,0.5,13,42.58
50,0.55,8,42.59
15,0.45,10,42.59
20,0.4,11,42.59
40,0.6,14,42.61
30,0.7,10,42.62
20,0.75,3,42.66
20,0.75,8,42.67
35,0.7,5,42.68
30,0.75,4,42.68
55,0.45,5,42.69
10,0.4,6,42.69
15,0.65,11,42.7
35,0.7,7,42.72
55,0.45,7,42.73
55,0.4,13,42.74
35,0.7,6,42.75
50,0.55,4,42.76
55,0.45,6,42.76
20,0.45,13,42.77
10,0.55,12,42.78
35,0.65,13,42.78
55,0.4,10,42.78
15,0.75,3,42.8
55,0.45,9,42.8
55,0.45,8,42.8
10,0.6,12,42.83
15,0.5,13,42.85
10,0.6,14,42.86
50,0.5,11,42.86
55,0.5,5,42.87
10,0.55,13,42.88
10,0.45,9,42.88
20,0.65,12,42.89
50,0.45,3,42.9
55,0.5,7,42.91
55,0.5,8,42.91
55,0.5,9,42.91
45,0.6,10,42.91
50,0.45,12,42.93
55,0.5,6,42.94
55,0.4,11,42.94
10,0.5,11,42.94
20,0.7,10,42.95
20,0.65,14,42.95
20,0.45,12,42.96
35,0.7,4,42.97
10,0.4,7,42.99
50,0.45,14,42.99
15,0.5,12,43.03
15,0.65,13,43.03
55,0.45,4,43.04
30,0.75,8,43.06
25,0.75,9,43.06
15,0.55,14,43.07
35,0.7,9,43.07
10,0.75,2,43.09
10,0.65,11,43.1
15,0.75,8,43.13
35,0.65,2,43.14
45,0.6,13,43.16
35,0.7,8,43.16
30,0.7,2,43.17
50,0.5,12,43.17
10,0.75,8,43.19
10,0.7,9,43.19
40,0.65,10,43.2
25,0.75,3,43.2
50,0.5,3,43.21
50,0.5,14,43.23
55,0.5,4,43.23
25,0.7,11,43.26
55,0.4,12,43.33
20,0.75,9,43.36
10,0.5,12,43.37
35,0.65,12,43.37
10,0.55,14,43.37
55,0.4,14,43.39
50,0.4,2,43.41
20,0.4,13,43.43
45,0.6,11,43.44
30,0.75,9,43.44
35,0.65,14,43.44
40,0.65,13,43.45
10,0.5,13,43.47
45,0.65,5,43.49
45,0.65,9,43.51
45,0.65,7,43.53
50,0.55,10,43.54
45,0.55,2,43.54
45,0.65,6,43.56
20,0.45,14,43.56
15,0.45,11,43.58
10,0.65,13,43.58
15,0.4,10,43.59
40,0.6,2,43.59
25,0.7,13,43.59
30,0.7,11,43.59
45,0.6,3,43.6
50,0.55,13,43.6
15,0.7,10,43.61
45,0.65,8,43.61
20,0.4,12,43.61
15,0.65,12,43.62
55,0.45,13,43.62
15,0.5,14,43.66
55,0.5,13,43.67
15,0.65,14,43.69
20,0.75,2,43.71
40,0.65,11,43.73
